read_time_s,timestamp_s,age_s,frame_index,valid,label,confidence,cx,cy,x1,y1,x2,y2,depth_mm,camera_x_m,camera_y_m,camera_z_m,fps,color_source,depth_source
1779894682.183427,1779894682.070779,0.112648,3145,True,bottle,0.679643,190,49,176.15,10.56,204.665,86.771,575.0,-0.133128,-0.186079,0.575,8.024,auto,/dev/video0
1779894682.684684,1779894682.585052,0.099632,3149,True,bottle,0.681685,190,49,176.277,10.876,204.452,87.17,575.0,-0.133128,-0.186079,0.575,8.118,auto,/dev/video0
1779894683.185931,1779894683.161725,0.024206,3154,True,bottle,0.687108,190,49,176.065,10.891,204.751,87.216,576.0,-0.13336,-0.186403,0.576,8.424,auto,/dev/video0
1779894683.687324,1779894683.628456,0.058868,3158,True,bottle,0.629393,190,49,176.142,10.845,204.346,87.259,576.0,-0.13336,-0.186403,0.576,8.491,auto,/dev/video0
1779894684.188682,1779894684.097468,0.091214,3162,True,bottle,0.644072,190,49,176.149,11.066,204.546,86.652,573.0,-0.132665,-0.185432,0.573,8.515,auto,/dev/video0
1779894684.689583,1779894684.67462,0.014963,3167,True,bottle,0.704299,190,49,175.999,10.788,204.665,86.34,577.0,-0.133591,-0.186726,0.577,8.604,auto,/dev/video0
1779894685.191015,1779894685.161791,0.029224,3171,True,bottle,0.666139,190,51,175.976,11.566,205.007,91.002,577.0,-0.133591,-0.18482,0.577,8.397,auto,/dev/video0
1779894685.692404,1779894685.630061,0.062343,3175,True,bottle,0.699281,190,49,175.987,10.766,204.691,86.973,575.0,-0.133128,-0.186079,0.575,8.478,auto,/dev/video0
1779894686.193842,1779894686.092746,0.101096,3179,True,bottle,0.712088,190,49,175.938,10.893,204.773,87.261,574.0,-0.132897,-0.185756,0.574,8.555,auto,/dev/video0
1779894686.695308,1779894686.680091,0.015217,3184,True,bottle,0.672474,191,51,176.043,11.373,205.266,90.983,576.0,-0.132409,-0.1845,0.576,8.552,auto,/dev/video0
1779894687.196786,1779894687.144206,0.05258,3188,True,bottle,0.726534,190,49,175.923,10.919,204.88,87.367,576.0,-0.13336,-0.186403,0.576,8.594,auto,/dev/video0
1779894687.698202,1779894687.612729,0.085473,3192,True,bottle,0.697551,190,49,176.061,10.76,204.777,88.174,578.0,-0.133823,-0.18705,0.578,8.573,auto,/dev/video0
1779894688.199614,1779894688.082628,0.116986,3196,True,bottle,0.750582,190,49,176.125,10.801,204.313,87.446,578.0,-0.133823,-0.18705,0.578,8.553,auto,/dev/video0
1779894688.701056,1779894688.674845,0.026212,3201,True,bottle,0.693668,190,49,176.077,10.931,204.559,87.11,578.0,-0.133823,-0.18705,0.578,8.513,auto,/dev/video0
1779894689.202963,1779894689.156447,0.046516,3205,True,bottle,0.66933,191,51,176.034,11.427,205.548,90.938,579.0,-0.133099,-0.185461,0.579,8.421,auto,/dev/video0
1779894689.704354,1779894689.631081,0.073273,3209,True,bottle,0.719488,190,49,175.899,10.805,204.409,86.272,576.0,-0.13336,-0.186403,0.576,8.431,auto,/dev/video0
