read_time_s,timestamp_s,age_s,frame_index,valid,label,confidence,cx,cy,x1,y1,x2,y2,depth_mm,camera_x_m,camera_y_m,camera_z_m,fps,color_source,depth_source
1779894933.184566,1779894933.130305,0.05426,5263,True,bottle,0.777501,185,30,171.92,0.0,199.011,60.918,681.0,-0.16329,-0.241753,0.681,7.891,auto,/dev/video0
1779894933.685616,1779894933.628505,0.057111,5267,True,bottle,0.762385,185,31,171.701,0.0,199.095,61.334,679.0,-0.162811,-0.239922,0.679,7.963,auto,/dev/video0
1779894934.186962,1779894934.12702,0.059942,5271,True,bottle,0.762437,186,31,171.731,0.0,199.349,61.274,682.0,-0.162404,-0.240982,0.682,8.019,auto,/dev/video0
1779894934.688326,1779894934.601188,0.087138,5275,True,bottle,0.76356,186,30,171.718,0.0,199.309,60.746,686.0,-0.163357,-0.243528,0.686,8.206,auto,/dev/video0
1779894935.189583,1779894935.076888,0.112695,5279,True,bottle,0.740848,185,31,171.726,0.0,199.242,61.151,685.0,-0.164249,-0.242042,0.685,8.311,auto,/dev/video0
1779894935.690964,1779894935.661257,0.029707,5284,True,bottle,0.762525,186,31,171.749,0.022,199.252,61.467,676.0,-0.160976,-0.238862,0.676,8.472,auto,/dev/video0
1779894936.191878,1779894936.13369,0.058187,5288,True,bottle,0.719882,186,31,171.957,0.0,199.254,61.024,686.0,-0.163357,-0.242395,0.686,8.481,auto,/dev/video0
1779894936.693257,1779894936.60132,0.091937,5292,True,bottle,0.778055,185,31,171.686,0.0,199.067,61.03,688.0,-0.164969,-0.243102,0.688,8.529,auto,/dev/video0
1779894937.194631,1779894937.186311,0.00832,5297,True,bottle,0.763955,185,31,171.899,0.0,199.027,61.175,679.0,-0.162811,-0.239922,0.679,8.545,auto,/dev/video0
1779894937.695981,1779894937.68329,0.012691,5301,True,bottle,0.718794,185,30,171.754,0.0,199.118,60.964,690.0,-0.165448,-0.244948,0.69,8.308,auto,/dev/video0
1779894938.197426,1779894938.158388,0.039038,5305,True,bottle,0.772881,185,31,171.655,0.0,199.123,61.103,678.0,-0.162571,-0.239568,0.678,8.398,auto,/dev/video0
1779894938.698795,1779894938.649615,0.04918,5309,True,bottle,0.757694,186,31,171.771,0.0,199.302,61.06,678.0,-0.161452,-0.239568,0.678,8.283,auto,/dev/video0
1779894939.20019,1779894939.134169,0.066021,5313,True,bottle,0.778486,185,31,171.715,0.0,198.919,61.104,671.0,-0.160892,-0.237095,0.671,8.284,auto,/dev/video0
1779894939.701552,1779894939.612805,0.088747,5317,True,bottle,0.744059,185,31,171.726,0.0,199.17,61.183,682.0,-0.16353,-0.240982,0.682,8.367,auto,/dev/video0
1779894940.202878,1779894940.096403,0.106475,5321,True,bottle,0.778082,185,31,171.682,0.0,199.272,61.4,679.0,-0.162811,-0.239922,0.679,8.317,auto,/dev/video0
1779894940.704293,1779894940.690075,0.014219,5326,True,bottle,0.751753,185,31,171.7,0.0,199.243,61.16,677.0,-0.162331,-0.239215,0.677,8.373,auto,/dev/video0
1779894941.205765,1779894941.153842,0.051924,5330,True,bottle,0.796754,185,30,171.85,0.0,199.073,60.999,674.0,-0.161612,-0.239268,0.674,8.499,auto,/dev/video0
1779894941.707143,1779894941.630898,0.076245,5334,True,bottle,0.774608,186,30,171.938,0.0,199.12,60.943,681.0,-0.162166,-0.241753,0.681,8.469,auto,/dev/video0
1779894942.208507,1779894942.128022,0.080485,5338,True,bottle,0.729553,185,31,171.74,0.0,199.223,61.151,677.0,-0.162331,-0.239215,0.677,8.262,auto,/dev/video0
1779894942.709858,1779894942.6122,0.097658,5342,True,bottle,0.748696,186,31,171.735,0.0,199.299,61.23,683.0,-0.162642,-0.241335,0.683,8.284,auto,/dev/video0
