read_time_s,timestamp_s,age_s,frame_index,valid,label,confidence,cx,cy,x1,y1,x2,y2,depth_mm,camera_x_m,camera_y_m,camera_z_m,fps,color_source,depth_source
1779895816.040928,1779895815.974505,0.066423,12567,True,bottle,0.765296,183,49,168.109,6.997,197.076,90.127,592.0,-0.143904,-0.191581,0.592,7.575,auto,/dev/video0
1779895816.542133,1779895816.48327,0.058863,12571,True,bottle,0.758779,183,48,168.19,6.808,197.343,89.402,590.0,-0.143418,-0.191908,0.59,7.773,auto,/dev/video0
1779895817.043508,1779895816.943818,0.09969,12575,True,bottle,0.738322,183,49,168.092,6.912,197.238,90.523,590.0,-0.143418,-0.190933,0.59,8.218,auto,/dev/video0
1779895817.544896,1779895817.534862,0.010034,12580,True,bottle,0.729717,183,48,168.152,6.952,197.255,89.708,589.0,-0.143175,-0.191583,0.589,8.348,auto,/dev/video0
1779895818.046409,1779895817.989301,0.057108,12584,True,bottle,0.711942,183,48,168.124,6.985,197.673,89.538,590.0,-0.143418,-0.191908,0.59,8.55,auto,/dev/video0
1779895818.547763,1779895818.461084,0.086679,12588,True,bottle,0.747502,183,48,168.168,7.082,197.506,88.956,589.0,-0.143175,-0.191583,0.589,8.512,auto,/dev/video0
1779895819.049122,1779895819.026628,0.022494,12593,True,bottle,0.75048,183,48,168.168,7.089,197.497,89.245,589.0,-0.143175,-0.191583,0.589,8.711,auto,/dev/video0
1779895819.550561,1779895819.523353,0.027208,12597,True,bottle,0.74704,182,49,167.55,7.355,196.384,90.346,591.0,-0.144636,-0.191257,0.591,8.393,auto,/dev/video0
1779895820.051587,1779895820.018882,0.032705,12601,True,bottle,0.739655,183,49,168.066,6.97,197.22,90.319,591.0,-0.143661,-0.191257,0.591,8.245,auto,/dev/video0
1779895820.552982,1779895820.54314,0.009842,12605,True,bottle,0.70317,183,48,168.144,6.919,197.636,89.82,589.0,-0.143175,-0.191583,0.589,7.963,auto,/dev/video0
1779895821.054358,1779895821.045857,0.008501,12609,True,bottle,0.720518,183,48,168.136,6.845,197.347,89.911,588.0,-0.142932,-0.191257,0.588,7.999,auto,/dev/video0
1779895821.555812,1779895821.552896,0.002916,12613,True,bottle,0.752975,182,49,168.176,7.109,196.707,89.985,591.0,-0.144636,-0.191257,0.591,7.939,auto,/dev/video0
1779895822.057076,1779895821.953623,0.103453,12616,True,bottle,0.676648,182,49,167.721,7.652,195.961,90.047,591.0,-0.144636,-0.191257,0.591,7.758,auto,/dev/video0
1779895822.558506,1779895822.450841,0.107665,12620,True,bottle,0.710605,182,49,167.625,7.623,196.502,90.196,590.0,-0.144391,-0.190933,0.59,7.91,auto,/dev/video0
1779895823.059889,1779895823.050136,0.009753,12625,True,bottle,0.763509,182,49,168.119,7.002,196.565,90.082,589.0,-0.144147,-0.19061,0.589,8.127,auto,/dev/video0
1779895823.561293,1779895823.531268,0.030025,12629,True,bottle,0.736633,183,48,168.222,7.08,197.696,88.954,589.0,-0.143175,-0.191583,0.589,8.234,auto,/dev/video0
1779895824.062682,1779895824.009078,0.053604,12633,True,bottle,0.740414,183,48,168.127,6.964,197.385,89.76,591.0,-0.143661,-0.192233,0.591,8.286,auto,/dev/video0
1779895824.564079,1779895824.52013,0.043949,12637,True,bottle,0.781118,182,48,168.137,6.939,196.48,89.368,590.0,-0.144391,-0.191908,0.59,8.133,auto,/dev/video0
1779895825.06545,1779895824.991539,0.073911,12641,True,bottle,0.771829,182,48,168.121,7.153,196.849,89.515,589.0,-0.144147,-0.191583,0.589,8.301,auto,/dev/video0
1779895825.566856,1779895825.467973,0.098883,12645,True,bottle,0.710212,183,49,168.154,6.952,197.081,90.913,589.0,-0.143175,-0.19061,0.589,8.334,auto,/dev/video0
