read_time_s,timestamp_s,age_s,frame_index,valid,label,confidence,cx,cy,x1,y1,x2,y2,depth_mm,camera_x_m,camera_y_m,camera_z_m,fps,color_source,depth_source
1779895226.740616,1779895226.710872,0.029744,7702,True,bottle,0.918591,168,59,153.32,18.011,181.942,100.204,534.0,-0.143025,-0.163991,0.534,7.513,auto,/dev/video0
1779895227.241575,1779895227.188972,0.052603,7706,True,bottle,0.905522,168,59,153.454,17.967,182.127,100.418,533.0,-0.142758,-0.163684,0.533,7.933,auto,/dev/video0
1779895227.742949,1779895227.671759,0.07119,7710,True,bottle,0.910495,168,59,153.445,17.847,182.127,100.386,532.0,-0.14249,-0.163377,0.532,8.106,auto,/dev/video0
1779895228.244344,1779895228.165426,0.078918,7714,True,bottle,0.906444,168,59,153.286,18.011,182.021,100.479,532.0,-0.14249,-0.163377,0.532,8.113,auto,/dev/video0
1779895228.745703,1779895228.685897,0.059806,7718,True,bottle,0.902508,168,59,153.467,17.728,182.247,100.177,533.0,-0.142758,-0.163684,0.533,7.914,auto,/dev/video0
1779895229.247099,1779895229.210967,0.036132,7722,True,bottle,0.893246,168,59,153.506,17.854,182.046,100.144,532.0,-0.14249,-0.163377,0.532,7.765,auto,/dev/video0
1779895229.748488,1779895229.698875,0.049613,7726,True,bottle,0.907105,168,59,153.504,17.796,181.945,100.242,533.0,-0.142758,-0.163684,0.533,7.95,auto,/dev/video0
1779895230.249897,1779895230.19027,0.059627,7730,True,bottle,0.89039,168,59,153.39,17.801,181.761,100.128,533.0,-0.142758,-0.163684,0.533,8.057,auto,/dev/video0
1779895230.751243,1779895230.671897,0.079346,7734,True,bottle,0.901168,168,59,153.388,18.073,181.843,99.745,532.0,-0.14249,-0.163377,0.532,8.178,auto,/dev/video0
1779895231.2526,1779895231.152523,0.100077,7738,True,bottle,0.89113,168,59,152.655,17.072,182.799,100.011,531.0,-0.142222,-0.16307,0.531,8.247,auto,/dev/video0
1779895231.753579,1779895231.666937,0.086642,7742,True,bottle,0.897578,168,59,153.475,17.751,181.953,99.886,532.0,-0.14249,-0.163377,0.532,8.059,auto,/dev/video0
1779895232.255018,1779895232.162235,0.092783,7746,True,bottle,0.902561,168,59,153.462,17.803,181.901,100.073,532.0,-0.14249,-0.163377,0.532,8.095,auto,/dev/video0
1779895232.756413,1779895232.698997,0.057415,7750,True,bottle,0.916688,168,59,153.381,17.817,182.008,100.149,532.0,-0.14249,-0.163377,0.532,7.771,auto,/dev/video0
1779895233.257591,1779895233.170453,0.087138,7754,True,bottle,0.903312,168,59,153.432,17.864,181.921,99.969,532.0,-0.14249,-0.163377,0.532,8.135,auto,/dev/video0
1779895233.758975,1779895233.745656,0.013319,7759,True,bottle,0.892607,168,59,153.387,17.89,181.865,100.133,532.0,-0.14249,-0.163377,0.532,8.464,auto,/dev/video0
1779895234.260401,1779895234.220762,0.039639,7763,True,bottle,0.902103,168,59,153.342,18.006,182.04,100.065,533.0,-0.142758,-0.163684,0.533,8.437,auto,/dev/video0
1779895234.761581,1779895234.684625,0.076957,7767,True,bottle,0.897287,168,59,153.291,17.808,181.98,100.118,531.0,-0.142222,-0.16307,0.531,8.53,auto,/dev/video0
1779895235.262963,1779895235.165165,0.097798,7771,True,bottle,0.899134,168,59,153.372,17.895,181.95,100.21,532.0,-0.14249,-0.163377,0.532,8.434,auto,/dev/video0
1779895235.764444,1779895235.742252,0.022192,7776,True,bottle,0.900584,168,59,153.537,17.919,182.064,100.162,533.0,-0.142758,-0.163684,0.533,8.553,auto,/dev/video0
1779895236.265857,1779895236.237331,0.028527,7780,True,bottle,0.892591,168,59,153.532,17.87,181.88,99.888,532.0,-0.14249,-0.163377,0.532,8.375,auto,/dev/video0
